episode,step,domain,action,reward,completed,blocked,remaining_product,blocked_product,remaining_mcp,blocked_mcp
0,0,product,execute_tasks,3.9299999999999997,2,0,26,9,20,6
0,1,product,execute_tasks,5.998333333333333,3,0,23,9,20,6
0,2,product,execute_tasks,5.986666666666666,3,0,20,9,20,6
0,3,product,execute_tasks,3.9416666666666664,2,0,18,9,20,6
0,4,product,recover_critics,1.9233333333333331,1,0,17,6,20,6
0,5,mcp,execute_tasks,1.9949999999999999,1,0,17,6,19,6
0,6,product,execute_tasks,0.15333333333333327,1,1,16,7,19,6
0,7,product,execute_tasks,4.19,3,1,13,8,19,6
0,8,product,recover_critics,-0.135,0,0,13,5,19,6
0,9,product,execute_tasks,5.991666666666666,3,0,10,5,19,6
0,10,product,recover_critics,-0.045,0,0,10,3,19,6
0,11,product,execute_tasks,3.9216666666666664,2,0,8,3,19,6
0,12,mcp,execute_tasks,5.95,3,0,8,3,16,6
0,13,product,execute_tasks,3.945,2,0,6,3,16,6
0,14,product,recover_critics,-0.48000000000000004,0,1,6,2,16,7
0,15,product,execute_tasks,1.9649999999999999,1,0,6,2,16,7
0,16,product,execute_tasks,2.175,2,1,6,3,16,7
0,17,product,recover_critics,0.015,0,0,6,2,16,7
0,18,product,execute_tasks,4.07,3,1,6,3,16,7
0,19,product,recover_critics,-0.039999999999999994,0,0,6,2,16,7
0,20,product,execute_tasks,1.9699999999999998,1,0,6,2,16,7
0,21,product,execute_tasks,3.973333333333333,2,0,6,2,16,7
0,22,product,execute_tasks,3.8716666666666666,2,0,6,2,16,7
0,23,product,execute_tasks,1.9366666666666665,1,0,6,2,16,7
0,24,product,execute_tasks,4.056666666666667,3,1,6,3,16,7
0,25,product,recover_critics,1.88,1,0,6,2,16,7
0,26,product,execute_tasks,1.9849999999999999,1,0,6,2,16,7
0,27,product,execute_tasks,3.965,2,0,6,2,16,7
0,28,product,execute_tasks,0.18833333333333327,1,1,6,3,16,7
0,29,product,recover_critics,-0.03666666666666667,0,0,6,2,16,7
0,30,product,execute_tasks,2.08,2,1,6,3,16,7
0,31,product,recover_critics,0.015,0,0,6,2,16,7
0,32,product,execute_tasks,3.983333333333333,2,0,6,2,16,7
0,33,product,execute_tasks,3.9216666666666664,2,0,6,2,16,7
0,34,product,execute_tasks,5.8933333333333335,3,0,6,2,16,7
0,35,product,execute_tasks,1.9233333333333331,1,0,6,2,16,7
0,36,product,execute_tasks,3.855,2,0,6,2,16,7
0,37,product,execute_tasks,1.8583333333333332,1,0,6,2,16,7
0,38,product,execute_tasks,4.173333333333334,3,1,6,3,16,7
0,39,product,recover_critics,-0.09833333333333334,0,0,6,2,16,7
0,40,product,execute_tasks,5.97,3,0,6,2,16,7
0,41,product,execute_tasks,1.9299999999999997,1,0,6,2,16,7
0,42,product,execute_tasks,1.9799999999999998,1,0,6,2,16,7
0,43,product,execute_tasks,5.868333333333333,3,0,6,2,16,7
0,44,product,execute_tasks,5.916666666666666,3,0,6,2,16,7
0,45,product,execute_tasks,3.9566666666666666,2,0,6,2,16,7
0,46,product,execute_tasks,0.1366666666666666,1,1,6,3,16,7
0,47,product,recover_critics,-0.5266666666666667,0,1,6,2,16,8
0,48,product,execute_tasks,1.9933333333333332,1,0,6,2,16,8
0,49,product,execute_tasks,3.985,2,0,6,2,16,8
0,50,product,execute_tasks,4.18,3,1,6,3,16,8
0,51,product,recover_critics,-0.03166666666666666,0,0,6,2,16,8
0,52,product,execute_tasks,3.9816666666666665,2,0,6,2,16,8
0,53,product,execute_tasks,5.875,3,0,6,2,16,8
0,54,product,execute_tasks,5.983333333333333,3,0,6,2,16,8
0,55,product,execute_tasks,2.19,2,1,6,3,16,8
0,56,product,recover_critics,1.8649999999999998,1,0,6,2,16,8
0,57,product,execute_tasks,1.873333333333333,1,0,6,2,16,8
0,58,product,execute_tasks,1.9183333333333332,1,0,6,2,16,8
0,59,product,execute_tasks,5.88,3,0,6,2,16,8
0,60,product,execute_tasks,1.6166666666666667,1,1,6,2,16,9
0,61,product,execute_tasks,1.9649999999999999,1,0,6,2,16,9
0,62,product,execute_tasks,0.1416666666666666,1,1,6,3,16,9
0,63,product,recover_critics,1.8683333333333332,1,0,6,2,16,9
0,64,mcp,recover_critics,-0.5333333333333333,0,1,6,3,16,6
0,65,product,recover_critics,1.853333333333333,1,0,6,2,16,6
0,66,product,execute_tasks,3.9166666666666665,2,0,6,2,16,6
0,67,product,execute_tasks,5.8533333333333335,3,0,6,2,16,6
0,68,product,execute_tasks,4.011666666666667,2,0,6,2,16,6
0,69,product,execute_tasks,5.881666666666667,3,0,6,2,16,6
0,70,product,execute_tasks,5.963333333333333,3,0,6,2,16,6
0,71,product,execute_tasks,2.1533333333333333,2,1,6,3,16,6
0,72,product,recover_critics,-0.05499999999999999,0,0,6,2,16,6
0,73,product,execute_tasks,6.0,3,0,6,2,16,6
0,74,product,execute_tasks,3.9616666666666664,2,0,6,2,16,6
0,75,product,execute_tasks,3.873333333333333,2,0,6,2,16,6
0,76,product,execute_tasks,1.9166666666666665,1,0,6,2,16,6
0,77,product,execute_tasks,3.9433333333333334,2,0,6,2,16,6
0,78,product,execute_tasks,3.973333333333333,2,0,6,2,16,6
0,79,product,execute_tasks,1.863333333333333,1,0,6,2,16,6
0,80,product,execute_tasks,2.0833333333333335,2,1,6,3,16,6
0,81,product,recover_critics,-0.043333333333333335,0,0,6,2,16,6
0,82,product,execute_tasks,3.8633333333333333,2,0,6,2,16,6
0,83,product,execute_tasks,3.965,2,0,6,2,16,6
0,84,product,execute_tasks,5.944999999999999,3,0,6,2,16,6
0,85,product,execute_tasks,1.998333333333333,1,0,6,2,16,6
0,86,product,execute_tasks,2.1966666666666668,2,1,6,3,16,6
0,87,product,recover_critics,-0.04666666666666666,0,0,6,2,16,6
0,88,product,execute_tasks,1.8616666666666666,1,0,6,2,16,6
0,89,product,execute_tasks,1.8783333333333332,1,0,6,2,16,6
0,90,product,execute_tasks,1.88,1,0,6,2,16,6
0,91,product,execute_tasks,5.965,3,0,6,2,16,6
0,92,product,execute_tasks,3.513333333333333,2,1,6,2,16,7
0,93,mcp,execute_tasks,3.2566666666666664,2,0,6,2,14,7
0,94,product,execute_tasks,4.083333333333333,3,1,6,3,14,7
